Start Time,Enter,Exit
"	03/12 20:00",0,0
"	03/12 21:00",0,0
"	03/12 22:00",0,0
"	03/12 23:00",0,0
"	03/13 00:00",0,0
"	03/13 01:00",0,0
"	03/13 02:00",0,0
"	03/13 03:00",0,0
"	03/13 04:00",0,0
"	03/13 05:00",0,0
"	03/13 06:00",0,0
"	03/13 07:00",0,0
"	03/13 08:00",0,0
"	03/13 09:00",0,0
"	03/13 10:00",38,31
"	03/13 11:00",92,76
"	03/13 12:00",120,62
"	03/13 13:00",79,44
"	03/13 14:00",110,49
"	03/13 15:00",106,47
"	03/13 16:00",152,73
"	03/13 17:00",134,50
"	03/13 18:00",180,74
"	03/13 19:00",116,43
