Start Time,Enter,Exit
"	03/16 08:00",2,0
"	03/16 09:00",24,14
"	03/16 10:00",133,90
"	03/16 11:00",202,91
"	03/16 12:00",314,137
"	03/16 13:00",307,136
"	03/16 14:00",417,189
"	03/16 15:00",410,197
"	03/16 16:00",479,187
"	03/16 17:00",451,180
"	03/16 18:00",506,207
"	03/16 19:00",363,159
"	03/16 20:00",178,102
"	03/16 21:00",121,76
"	03/16 22:00",19,11
"	03/16 23:00",1,0
"	03/17 00:00",0,0
"	03/17 01:00",0,0
"	03/17 02:00",0,0
"	03/17 03:00",0,0
"	03/17 04:00",1,0
"	03/17 05:00",0,0
"	03/17 06:00",0,0
"	03/17 07:00",2,0
