Start Time,Enter,Exit
"	03/14 00:00",0,1
"	03/14 01:00",0,0
"	03/14 02:00",1,1
"	03/14 03:00",0,0
"	03/14 04:00",0,0
"	03/14 05:00",0,0
"	03/14 06:00",0,0
"	03/14 07:00",0,0
"	03/14 08:00",5,2
"	03/14 09:00",12,7
"	03/14 10:00",136,90
"	03/14 11:00",133,73
