Start Time,Enter,Exit
"	03/16 00:00",0,0
"	03/16 01:00",0,0
"	03/16 02:00",0,0
"	03/16 03:00",0,0
"	03/16 04:00",0,0
"	03/16 05:00",0,0
"	03/16 06:00",0,0
"	03/16 07:00",2,1
"	03/16 08:00",2,0
"	03/16 09:00",24,14
"	03/16 10:00",133,90
"	03/16 11:00",202,91
