Start Time,Enter,Exit
"	03/13 08:00",0,0
"	03/13 09:00",0,0
"	03/13 10:00",38,31
"	03/13 11:00",92,76
"	03/13 12:00",120,62
"	03/13 13:00",79,44
"	03/13 14:00",110,49
"	03/13 15:00",106,47
"	03/13 16:00",152,73
"	03/13 17:00",134,50
"	03/13 18:00",180,74
"	03/13 19:00",116,43
"	03/13 20:00",129,77
"	03/13 21:00",89,51
"	03/13 22:00",3,4
"	03/13 23:00",0,0
"	03/14 00:00",0,1
"	03/14 01:00",0,0
"	03/14 02:00",1,1
"	03/14 03:00",0,0
"	03/14 04:00",0,0
"	03/14 05:00",0,0
"	03/14 06:00",0,0
"	03/14 07:00",0,0
