Start Time,Enter,Exit
"	03/17 09:00",16,8
"	03/17 10:00",126,62
"	03/17 11:00",176,104
"	03/17 12:00",168,100
"	03/17 13:00",252,126
"	03/17 14:00",250,174
"	03/17 15:00",284,118
"	03/17 16:00",178,86
"	03/17 17:00",244,124
"	03/17 18:00",316,152
"	03/17 19:00",250,132
"	03/17 20:00",192,80
"	03/17 21:00",94,64
"	03/17 22:00",20,8
"	03/17 23:00",6,0
"	03/18 00:00",0,0
"	03/18 01:00",0,0
"	03/18 02:00",0,0
"	03/18 03:00",0,0
"	03/18 04:00",0,0
"	03/18 05:00",2,0
"	03/18 06:00",4,0
"	03/18 07:00",6,2
"	03/18 08:00",8,0
