Start Time,Enter,Exit
03/14 00:00,3,1
03/14 01:00,2,1
03/14 02:00,1,0
03/14 03:00,0,1
03/14 04:00,0,0
03/14 05:00,0,2
03/14 06:00,0,0
03/14 07:00,0,0
03/14 08:00,8,2
03/14 09:00,17,23
03/14 10:00,215,167
03/14 11:00,452,279
03/14 12:00,607,349
03/14 13:00,847,517
03/14 14:00,1095,811
03/14 15:00,1338,736
03/14 16:00,1431,805
