Start Time,Enter,Exit
03/16 08:00,1,9
03/16 09:00,36,61
03/16 10:00,420,325
03/16 11:00,668,410
03/16 12:00,367,276
03/16 13:00,1317,799
03/16 14:00,1376,831
03/16 15:00,1426,929
03/16 16:00,1500,1036
03/16 17:00,1601,1092
03/16 18:00,1593,1098
03/16 19:00,1499,920
03/16 20:00,988,617
03/16 21:00,461,338
03/16 22:00,30,22
03/16 23:00,1,2
03/17 00:00,2,0
03/17 01:00,0,0
03/17 02:00,0,0
03/17 03:00,1,0
03/17 04:00,2,3
03/17 05:00,0,1
03/17 06:00,0,3
03/17 07:00,2,3
