Start Time,Enter,Exit
03/18 00:00,2,1
03/18 01:00,1,0
03/18 02:00,0,0
03/18 03:00,0,1
03/18 04:00,1,0
03/18 05:00,0,1
03/18 06:00,0,1
03/18 07:00,2,4
03/18 08:00,5,17
03/18 09:00,17,33
03/18 10:00,180,178
03/18 11:00,306,269
03/18 12:00,745,538
03/18 13:00,796,441
03/18 14:00,880,527
03/18 15:00,522,369
03/18 16:00,0,0
03/18 17:00,0,0
03/18 18:00,0,0
03/18 19:00,0,0
03/18 20:00,0,0
03/18 21:00,0,0
03/18 22:00,0,0
03/18 23:00,0,0
