Start Time,Enter,Exit
03/16 00:00,2,1
03/16 01:00,0,0
03/16 02:00,0,0
03/16 03:00,0,1
03/16 04:00,0,0
03/16 05:00,0,0
03/16 06:00,0,5
03/16 07:00,0,15
03/16 08:00,1,9
03/16 09:00,36,61
03/16 10:00,420,325
03/16 11:00,668,410
